   x      v
0.0051300513 0.0449665829
0.0051400514 0.0450515779
0.0051500515 0.0451365634
0.0051600516 0.0452215394
0.0051700517 0.0453065058
0.0051800518 0.0453914628
0.0051900519 0.0454764103
0.0052000520 0.0455613483
0.0052100521 0.0456462768
0.0052200522 0.0457311958
0.0052300523 0.0458161053
0.0052400524 0.0459010053
0.0052500525 0.0459858958
0.0052600526 0.0460707769
0.0052700527 0.0461556484
0.0052800528 0.0462405105
0.0052900529 0.0463253631
0.0053000530 0.0464102062
0.0053100531 0.0464950398
0.0053200532 0.0465798639
0.0053300533 0.0466646785
0.0053400534 0.0467494837
0.0053500535 0.0468342794
0.0053600536 0.0469190656
0.0053700537 0.0470038423
0.0053800538 0.0470886096
0.0053900539 0.0471733674
0.0054000540 0.0472581157
0.0054100541 0.0473428545
0.0054200542 0.0474275838
0.0054300543 0.0475123037
0.0054400544 0.0475970141
0.0054500545 0.0476817150
0.0054600546 0.0477664065
0.0054700547 0.0478510885
0.0054800548 0.0479357610
0.0054900549 0.0480204241
0.0055000550 0.0481050777
0.0055100551 0.0481897218
0.0055200552 0.0482743565
0.0055300553 0.0483589817
0.0055400554 0.0484435974
0.0055500555 0.0485282037
0.0055600556 0.0486128005
0.0055700557 0.0486973879
0.0055800558 0.0487819658
0.0055900559 0.0488665342
0.0056000560 0.0489510932
0.0056100561 0.0490356428
0.0056200562 0.0491201828
0.0056300563 0.0492047135
0.0056400564 0.0492892346
0.0056500565 0.0493737464
0.0056600566 0.0494582486
0.0056700567 0.0495427414
0.0056800568 0.0496272248
0.0056900569 0.0497116987
0.0057000570 0.0497961632
0.0057100571 0.0498806182
0.0057200572 0.0499650638
0.0057300573 0.0500495000
0.0057400574 0.0501339267
0.0057500575 0.0502183439
0.0057600576 0.0503027517
0.0057700577 0.0503871501
0.0057800578 0.0504715390
0.0057900579 0.0505559185
0.0058000580 0.0506402886
0.0058100581 0.0507246492
0.0058200582 0.0508090004
0.0058300583 0.0508933421
0.0058400584 0.0509776744
0.0058500585 0.0510619973
0.0058600586 0.0511463108
0.0058700587 0.0512306148
0.0058800588 0.0513149094
0.0058900589 0.0513991945
0.0059000590 0.0514834703
0.0059100591 0.0515677366
0.0059200592 0.0516519935
0.0059300593 0.0517362409
0.0059400594 0.0518204789
0.0059500595 0.0519047075
0.0059600596 0.0519889267
0.0059700597 0.0520731365
0.0059800598 0.0521573368
0.0059900599 0.0522415277
0.0060000600 0.0523257092
0.0060100601 0.0524098813
0.0060200602 0.0524940440
